Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
60,0,"[[1.0, 12.0, 1.0, 1.0, 761.9047619047619, 500.0, 202.0, 224.0]]",1,-11.087025124408303,34.0,2.9129748755916984
61,0,"[[2.0, 12.0, 1.0, 1.0, 727.2727272727273, 500.0, 204.0, 224.0]]",1,-9.681113460183226,32.5,2.818886539816772
62,0,"[[3.0, 12.0, 1.0, 1.0, 695.6521739130435, 500.0, 206.0, 224.0]]",1,-6.812810117034189,29.5,2.687189882965809
62,1,"[[3.0, 14.0, 1.0, 1.0, 695.6521739130435, 470.5882352941176, 206.0, 228.0]]",0,6.784121320249778,5,1.7841213202497772
63,0,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",0,-12.43871975019516,14.0,1.56128024980484
64,0,"[[0.0, 14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0]]",3,-14.487426734732464,16.0,1.512573265267536
65,0,"[[0.0, 18.0, 0.0, 1.0, 0.0, 421.0526315789474, 0.0, 236.0]]",0,-15.498797498797499,18.0,2.501202501202501
65,1,"[[0.0, 24.0, 0.0, 1.0, 0.0, 363.6363636363636, 0.0, 248.0]]",2,-23.608650447078396,26.0,2.3913495529216053
65,2,"[[0.0, 28.0, 0.0, 1.0, 0.0, 333.33333333333326, 0.0, 256.0]]",0,-28.76923076923077,30.0,1.2307692307692308
66,0,"[[0.0, 24.0, 0.0, 1.0, 0.0, 363.6363636363636, 0.0, 248.0]]",0,-30.802574464900463,32.0,1.197425535099536
67,0,"[[0.0, 26.0, 0.0, 1.0, 0.0, 347.82608695652175, 0.0, 252.0]]",2,-35.74850838680626,38.0,2.251491613193741
67,1,"[[0.0, 34.0, 0.0, 1.0, 0.0, 296.2962962962963, 0.0, 268.0]]",3,-42.975541042386986,44.0,1.0244589576130105
68,0,"[[0.0, 28.0, 0.0, 1.0, 0.0, 333.33333333333326, 0.0, 256.0]]",2,-47.02450920619437,48.0,0.9754907938056333
69,0,"[[0.0, 32.0, 0.0, 1.0, 0.0, 307.6923076923077, 0.0, 264.0]]",0,-47.02450920619437,48.0,0.9754907938056333
70,0,"[[0.0, 29.0, 0.0, 1.0, 0.0, 326.53061224489795, 0.0, 258.0]]",3,-42.975541042386986,44.0,1.0244589576130105
71,0,"[[0.0, 27.0, 0.0, 1.0, 0.0, 340.4255319148936, 0.0, 254.0]]",1,-5.6087470449172585,17.5,1.8912529550827424
71,1,"[[10.0, 25.0, 1.0, 1.0, 533.3333333333334, 355.55555555555554, 220.0, 250.0]]",1,-1.557024985860199,13.5,1.9429750141398008
71,2,"[[10.0, 23.0, 1.0, 1.0, 533.3333333333334, 372.0930232558139, 220.0, 246.0]]",2,-4.457745466051115,16.5,2.042254533948886
71,3,"[[8.0, 23.0, 1.0, 1.0, 571.4285714285714, 372.0930232558139, 216.0, 246.0]]",0,-26.734377471919,28.0,1.2656225280809998
72,0,"[[0.0, 20.0, 0.0, 1.0, 0.0, 400.0, 0.0, 240.0]]",3,-20.619737750172533,22.0,1.3802622498274673
73,0,"[[0.0, 16.0, 0.0, 1.0, 0.0, 444.44444444444446, 0.0, 232.0]]",3,-16.533724340175954,18.0,1.466275659824047
74,0,"[[0.0, 21.0, 0.0, 1.0, 0.0, 390.2439024390244, 0.0, 242.0]]",3,-14.487426734732464,16.0,1.512573265267536
75,0,"[[0.0, 16.0, 0.0, 1.0, 0.0, 444.44444444444446, 0.0, 232.0]]",4,-8.333333333333334,10,1.6666666666666667
76,0,"[[0.0, 18.0, 0.0, 1.0, 0.0, 421.0526315789474, 0.0, 236.0]]",3,6.848001848001848,5,1.8480018480018479
77,0,"[[0.0, 12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0]]",4,6.915708812260537,5,1.9157088122605364
