Episode,Step,State,Action,Reward,Penalty,Penalty Reasons,Energy Efficiency
2331,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2332,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2333,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2334,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2335,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2336,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2337,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2338,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2339,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2340,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
